Name,Studio,Genres
"Haikyuu!! vs. ""Akaten""",Production I.G,"Shounen, Sports, School Life, Volleyball, Based on a Manga"
Quanzhi Gaoshou 2,Colored Pencil Animation,"Action, Drama, Chinese Animation, MMORPG, RPG, Tournaments, Based on a Web Novel"
The Ancient Magus' Bride: Those Awaiting a Star,WIT Studio,"Fantasy, Romance, Shounen, Age Gap, Contemporary Fantasy, Europe, Library, Loneliness, Magic, Non-Human Protagonists, Orphans, Based on a Manga"
Sword of the Stranger,Bones,"Action, Drama, Feudal Japan, Historical, Orphans, Samurai, Swordplay, Original Work, Explicit Violence,, Mature Themes,, Physical Abuse,, Suicide"
KonoSuba – God's blessing on this wonderful world! 2,Studio DEEN,"Adventure, Comedy, Ecchi, Fantasy, Demons, Gag, Gods, Guilds, Isekai, NEET, Non-Human Protagonists, Parody, Person in a Strange World, RPG, Based on a Light Novel"
Initial D Final Stage,Synergy SP,"Drama, Seinen, Sports, Cars, Racing, Based on a Manga"
Cowboy Bebop: The Movie,Bones,"Action, Sci Fi, Bounty Hunters, Noir, Western, Original Work, Violence"
Rainbow: Nisha Rokubou no Shichinin,MADHOUSE,"Drama, Seinen, Delinquents, Melancholy, Prison, Based on a Manga, Mature Themes,, Physical Abuse,, Sexual Abuse,, Sexual Content,, Violence,, Domestic Abuse"
Wotakoi: Love is Hard for Otaku OVA,Lapin Track,"Comedy, Romance, Adult Couples, Work Life, Based on a Manga"
Major Season 1,Studio Hibari,"Drama, Shounen, Sports, Baseball, Coming of Age, Based on a Manga"
Mobile Suit Gundam: Iron-Blooded Orphans 2,Sunrise,"Drama, Mecha, Sci Fi, Outer Space, Real Robot, Original Work"
Major Season 4,Synergy SP,"Drama, Shounen, Sports, Baseball, Based on a Manga"
The Disastrous Life of Saiki K. - Reawakened,J.C.Staff,"Comedy, Shounen, Breaking the Fourth Wall, Gag, Psychic Powers, Supernatural, Superpowers, Based on a Manga"
Hunter x Hunter OVA,Nippon Animation,"Action, Adventure, Shounen, Martial Arts, Superpowers, Based on a Manga, Violence"
Saekano: How to Raise a Boring Girlfriend Fine,CloverWorks,"Comedy, Drama, Harem, Romance, Doujinshi Industry, Otaku Culture, Video Game Industry, Based on a Light Novel"
ReLIFE: Kanketsu-hen,Double Eagle,"Comedy, Drama, Romance, Seinen, Slice of Life, Age Transformation, Psychological, School Life, Based on a Webtoon"
Legend of the Galactic Heroes: Die Neue These Second 3,Production I.G,"Drama, Sci Fi, Military, Outer Space, Political, Space Opera, Based on a Novel"
Kamisama Kiss OVA,TMS Entertainment,"Comedy, Fantasy, Romance, Shoujo, Animal Characteristics, Interspecies Relationship, Japanese Mythology, Master-Servant Relationship, Non-Human Protagonists, Based on a Manga"
History's Strongest Disciple Kenichi,TMS Entertainment,"Action, Comedy, Shounen, Sports, Hand to Hand Combat, Kickboxing, Martial Arts, Weak to Strong, Based on a Manga"
Castlevania Season 2,Mua Film,"Action, Adventure, Drama, Horror, 15th Century, Demons, Elemental Powers, Europe, Historical, Magic, Medieval, Supernatural, Vampires, Based on a Video Game, Explicit Violence,, Mature Themes,, Physical Abuse,, Self-Harm"
Wu Dong Qiankun 2nd Season,Motion Magic,"Action, Adventure, Fantasy, Chinese Animation, Cultivation, Martial Arts, Based on a Web Novel, CG Animation"
Baccano!,Brain's Base,"Action, America, Criminals, Gangs, Human Experimentation, Mafia, Noir, Supernatural, Trains, Based on a Light Novel, Explicit Violence"
One Outs,MADHOUSE,"Seinen, Sports, Baseball, High Stakes Games, Overpowered Main Characters, Psychological, Based on a Manga"
Re:ZERO -Starting Life in Another World-,WHITE FOX,"Action, Adventure, Drama, Fantasy, Romance, Seinen, Cheats, Dark Fantasy, Isekai, Magic, NEET, Person in a Strange World, Psychological, Summoned Into Another World, Thriller, Time Travel, Based on a Light Novel, Explicit Violence"
Skip Beat!,Hal Film Maker,"Comedy, Romance, Shoujo, Acting, Idols, Showbiz, Work Life, Based on a Manga"
Golden Kamuy Season 2,Geno Studio,"Action, Adventure, Drama, Historical, Military, Treasure Hunters, Based on a Manga, Violence"
Eve: Kaikai Kitan,MAPPA,"Action, Horror, Monsters, Supernatural, Based on a Manga, Explicit Violence"
Puella Magi Madoka Magica the Movie Part 3: Rebellion,SHAFT,"Fantasy, Magical Girl, Contemporary Fantasy, Dark Fantasy, Henshin Heroes, Magic, Melancholy, Psychological, Thriller, Urban Fantasy, Original Work"
Detective Conan Movie 6: The Phantom of Baker Street,TMS Entertainment,"Mystery, Shounen, Age Transformation, Detectives, England, Europe, Sherlock Holmes, Virtual Reality, Based on a Manga"
Owarimonogatari,SHAFT,"Mystery, Psychological, Supernatural, Based on a Light Novel"
Silver Spoon 2nd Season,A-1 Pictures,"Comedy, Shounen, Slice of Life, Agriculture, Coming of Age, Lifestyle Change, noitaminA, School Life, Based on a Manga"
Mobile Suit Gundam 00 Second Season,Sunrise,"Action, Mecha, Sci Fi, Political, Real Robot, Rebellions, Original Work"
When They Cry: Kai,Studio DEEN,"Horror, Conspiracy, Countryside, Curse, Psychological, School Life, Thriller, Based on a Visual Novel, Explicit Violence"
Natsume's Book of Friends,Brain's Base,"Drama, Shoujo, Slice of Life, Bodyguards, Cats, Countryside, Episodic, Iyashikei, Japanese Mythology, Orphans, Supernatural, Youkai, Based on a Manga"
Detective Conan Movie 14: The Lost Ship in the Sky,TMS Entertainment,"Action, Drama, Mystery, Shounen, Age Transformation, Detectives, Police, Terrorism, Thieves, Based on a Manga"
The Seven Deadly Sins: Revival of the Commandments,A-1 Pictures,"Action, Adventure, Fantasy, Shounen, Demons, Magic, Medieval, Non-Human Protagonists, Overpowered Main Characters, Royalty, Superpowers, Based on a Manga, Violence"
Toradora!,J.C.Staff,"Comedy, Romance, Shounen, Coming of Age, Love Confession, Neighbors, Opposites Attract, Romantic Comedy, School Life, Tsundere, Unrequited Love, Based on a Light Novel"
One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari,Toei Animation,"Action, Adventure, Shounen, Pirates, Recap, Based on a Manga"
Grand Blue,Zero-G,"Comedy, Ecchi, Romance, Seinen, College, Gag, Mature Romance, Ocean, Scuba Diving, Slapstick, Based on a Manga"
Nodame Cantabile: Finale,J.C.Staff,"Comedy, Josei, Romance, Adult Couples, Classical Music, Europe, France, Mature Romance, Music, noitaminA, Tsundere, Based on a Manga"
xxxHOLiC Kei,Production I.G,"Comedy, Seinen, Episodic, Japanese Mythology, Mysterious Shop, Supernatural, Youkai, Based on a Manga"
Gintama,Sunrise,"Action, Comedy, Drama, Sci Fi, Shounen, Aliens, Breaking the Fourth Wall, Crude, Feudal Japan, Gag, Parody, Samurai, Slapstick, Swordplay, Based on a Manga, Violence"
Vivy: Fluorite Eye's Song,WIT Studio,"Action, Drama, Sci Fi, Androids, Non-Human Protagonists, Robots, Time Travel, Original Work, Explicit Violence"
Psycho-Pass,Production I.G,"Action, Sci Fi, Crime, Cyberpunk, Dystopia, Guns, Noir, noitaminA, Police, Psychopaths, Serial Killers, Thriller, Original Work, Explicit Violence"
Fate/Zero,ufotable,"Action, Fantasy, Contemporary Fantasy, Magic, Proxy Battles, Rivalries, Superpowers, Urban Fantasy, Based on a Light Novel, Violence"
xxxHOLiC Rou,Production I.G,"Drama, Seinen, Japanese Mythology, Supernatural, Based on a Manga"
Initial D Fourth Stage,A.C.G.T,"Action, Drama, Seinen, Sports, Cars, Racing, Based on a Manga"
BELLE,Studio Chizu,"Drama, Music, Virtual Reality, Original Work, Mature Themes,, Physical Abuse,, Domestic Abuse"
Overlord II,MADHOUSE,"Action, Fantasy, Sci Fi, Dark Fantasy, Isekai, Magic, Overpowered Main Characters, Person in a Strange World, RPG, Skeletons, Trapped in a Video Game, Virtual Reality, Based on a Light Novel, Mature Themes,, Physical Abuse,, Violence"
Gintama: Jump Festa 2008,Sunrise,"Action, Comedy, Sci Fi, Shounen, Aliens, Breaking the Fourth Wall, Crude, Feudal Japan, Gag, Parody, Samurai, Shorts, Slapstick, Swordplay, Based on a Manga, Violence"
Sekai-ichi Hatsukoi: World's Greatest First Love 2,Studio DEEN,"BL, Comedy, Drama, Romance, Shounen-ai, Adult Couples, Boss-Employee Relationship, Coworkers, Editors, LGBT Themes, Manga Industry, Mature Romance, Neighbors, Otaku Culture, Romantic Comedy, Work Life, Yaoi Hand Syndrome, Based on a Manga, Sexual Content"
Ascendance of a Bookworm,Ajia-do,"Drama, Fantasy, Cheats, Economics, Isekai, Magic, Medieval, Modern Knowledge, Person in a Strange World, Reincarnation, Based on a Light Novel"
Tsubasa Reservoir Chronicle: Tokyo Revelations,Production I.G,"Adventure, Fantasy, Shounen, Based on a Manga, Violence"
Junjou Romantica 2,Studio DEEN,"BL, Comedy, Drama, Romance, Shounen-ai, Age Gap, Cohabitation, LGBT Themes, Romantic Comedy, Writers, Yaoi Hand Syndrome, Based on a Manga, Sexual Content"
The Girl Who Leapt Through Time,MADHOUSE,"Romance, Sci Fi, Slice of Life, School Life, Time Travel, Based on a Novel"
Wotakoi: Love is Hard for Otaku,A-1 Pictures,"Comedy, Romance, Adult Couples, Childhood Friends, Coworkers, Fujoshi, Mature Romance, noitaminA, Otaku Culture, Salaryman, Work Life, Based on a Manga"
Berserk: Golden Age Arc III - The Advent,Studio 4°C,"Action, Fantasy, Seinen, Dark Fantasy, Demons, Medieval, Mercenaries, Overpowered Main Characters, Swordplay, Based on a Manga, Explicit Sex,, Explicit Violence,, Mature Themes,, Physical Abuse,, Sexual Abuse"
Puella Magi Madoka Magica the Movie Part 2: Eternal,SHAFT,"Fantasy, Magical Girl, Contemporary Fantasy, Dark Fantasy, Henshin Heroes, Magic, Melancholy, Psychological, Recap, Thriller, Urban Fantasy"
Jujutsu Kaisen 0,MAPPA,"Action, Shounen, Curse, Exorcists, Supernatural, Based on a Manga"
Nichijou: My Ordinary Life,Kyoto Animation,"Comedy, Shounen, Slice of Life, Androids, Episodic, Gag, Robots, School Life, Slapstick, Based on a Manga"
Trigun,MADHOUSE,"Action, Adventure, Comedy, Drama, Shounen, Desert, Episodic, Guns, Overpowered Main Characters, Western, Based on a Manga, Violence"
Summer Wars,MADHOUSE,"Action, Comedy, Sci Fi, Hacking, Social Media, Virtual Reality, Original Work"
Saga of Tanya the Evil,NUT,"Action, Fantasy, Seinen, Guns, Isekai, Magic, Military, Person in a Strange World, Reincarnation, War, Based on a Light Novel, Violence"
Psychic Princess,Haoliners Animation League,"Comedy, Drama, Romance, Ancient China, Chinese Animation, Historical, Royalty, Based on a Manga"
Junjou Romantica 3,Studio DEEN,"BL, Comedy, Drama, Romance, Shounen-ai, Age Gap, Cohabitation, LGBT Themes, Romantic Comedy, Writers, Yaoi Hand Syndrome, Based on a Manga"
Nodame Cantabile,J.C.Staff,"Comedy, Josei, Romance, Adult Couples, Classical Music, College, Mature Romance, Music, Music School, noitaminA, School Life, Tsundere, Based on a Manga"
Space Brothers,A-1 Pictures,"Drama, Sci Fi, Seinen, Astronauts, Childhood Promise, Outer Space, Based on a Manga"
Noragami,Bones,"Action, Comedy, Drama, Shounen, Ghosts, Gods, Japanese Mythology, Non-Human Protagonists, Supernatural, Based on a Manga, Violence"
The Seven Deadly Sins,A-1 Pictures,"Action, Adventure, Fantasy, Shounen, Demons, Magic, Medieval, Non-Human Protagonists, Overpowered Main Characters, Royalty, Superpowers, Based on a Manga, Animal Abuse,, Mature Themes,, Violence"
Detective Conan Movie 15: Quarter of Silence,TMS Entertainment,"Action, Mystery, Shounen, Age Transformation, Detectives, Thriller, Based on a Manga"
Death Parade,MADHOUSE,"Drama, Afterlife, Bar, High Stakes Games, Play or Die, Psychological, PVP, Supernatural, Thriller, Original Work, Mature Themes,, Physical Abuse"
Ghost in the Shell: Stand Alone Complex,Production I.G,"Sci Fi, Cyberpunk, Cyborgs, Hacking, Noir, Based on a Manga"
Fire Force 2nd Season,David Production,"Action, Comedy, Ecchi, Shounen, Elemental Powers, Firefighters, Supernatural, Superpowers, Based on a Manga, Violence"
Kizumonogatari Part 1: Tekketsu,SHAFT,"Drama, Ecchi, Psychological, Supernatural, Vampires, Based on a Light Novel, Explicit Violence"
Detective Conan Movie 13: The Raven Chaser,TMS Entertainment,"Action, Drama, Mystery, Shounen, Age Transformation, Conspiracy, Detectives, Police, Thriller, Based on a Manga"
Initial D Fifth Stage,Synergy SP,"Action, Drama, Seinen, Sports, Cars, Racing, Based on a Manga"
Food Wars! The Fourth Plate,J.C.Staff,"Comedy, Ecchi, Shounen, Cooking, Culinary School, Food and Beverage, Tournaments, Based on a Manga"
Tokyo Ghoul,Pierrot,"Action, Drama, Horror, Seinen, Human Experimentation, Psychological, Supernatural, Thriller, Based on a Manga, Cannibalism,, Explicit Violence,, Mature Themes,, Physical Abuse"
Swallowed Star,Sparkly Key Animation Studio,"Action, Fantasy, Sci Fi, Chinese Animation, Martial Arts, Based on a Web Novel, CG Animation"
Angel Beats!,P.A. WORKS,"Action, Comedy, Drama, Afterlife, Amnesia, School Life, Supernatural, Original Work"
In This Corner of the World,MAPPA,"Drama, Seinen, Slice of Life, Adult Couples, Family Life, Historical, Married Life, Poverty, War, World War 2, Based on a Manga"
Whisper of the Heart,Studio Ghibli,"Comedy, Drama, Romance, Shoujo, Slice of Life, Coming of Age, Family Friendly, Based on a Manga"
My Hero Academia 5,Bones,"Action, Sci Fi, Shounen, Superheroes, Based on a Manga, Explicit Violence,, Mature Themes,, Physical Abuse,, Domestic Abuse"
Castlevania Season 3,Mua Film,"Action, Adventure, Drama, Horror, 15th Century, Europe, Historical, Magic, Medieval, Religion, Supernatural, Vampires, Based on a Video Game, Explicit Sex,, Explicit Violence,, Mature Themes,, Physical Abuse"
Legend of the Galactic Heroes: Die Neue These Second 2,Production I.G,"Drama, Sci Fi, Political, Space Opera, War, Violence"
My Hero Academia Movie 3: World Heroes' Mission,Bones,"Action, Sci Fi, Shounen, Superheroes, Superpowers, Weak to Strong, Based on a Manga"
Puella Magi Madoka Magica,SHAFT,"Fantasy, Magical Girl, Contemporary Fantasy, Dark Fantasy, Henshin Heroes, Magic, Melancholy, Psychological, School Life, Thriller, Transfer Students, Urban Fantasy, Original Work, Mature Themes,, Suicide"
Ping Pong The Animation,Tatsunoko Production,"Drama, Seinen, Sports, Coming of Age, noitaminA, Ping Pong, Tournaments, Based on a Manga"
Rurouni Kenshin,Gallop,"Action, Shounen, 19th Century, Feudal Japan, Overpowered Main Characters, Samurai, Swordplay, Based on a Manga"
World Trigger 2nd Season,Toei Animation,"Action, Sci Fi, Shounen, Monsters, Based on a Manga"
Hajime no Ippo: Mashiba vs Kimura,MADHOUSE,"Action, Drama, Shounen, Sports, Boxing, Hand to Hand Combat, Based on a Manga"
Code Geass Movie: Lelouch of the Re;surrection,Sunrise,"Action, Drama, Mecha, Sci Fi, Real Robot, Superpowers, Original Work, Nudity,, Violence"
Star Blazers: Space Battleship Yamato 2199,XEBEC,"Adventure, Sci Fi, Aliens, Leijiverse, Military, Outer Space, Political, Space Opera, War"
Yaoshenji 3rd Season,Ruo Hong Culture,"Action, Fantasy, Chinese Animation, Cultivation, Martial Arts, Short Episodes, Xianxia, Based on a Web Novel, CG Animation"
One Piece Film: Gold,Toei Animation,"Action, Adventure, Shounen, Gambling, Pirates, Superpowers, Based on a Manga, Violence"
Laid-Back Camp,C-Station,"Adventure, Comedy, Seinen, Slice of Life, Iyashikei, School Club, The Great Outdoors, Based on a Manga"
Land of the Lustrous,Orange,"Action, Drama, Fantasy, Mystery, Seinen, Non-Human Protagonists, Based on a Manga, CG Animation"
86: Eighty-Six,A-1 Pictures,"Action, Drama, Sci Fi, Military, War, Based on a Light Novel, Mature Themes,, Violence"
BECK: Mongolian Chop Squad,MADHOUSE,"Drama, Shounen, Coming of Age, Lifestyle Change, Music, Rock Music, Showbiz, Based on a Manga"
Cross Game,Synergy SP,"Drama, Shounen, Sports, Baseball, Childhood Friends, Death of a Loved One, Based on a Manga"
Wotakoi: Love is Hard for Otaku - Youth,A-1 Pictures,"Comedy, Romance, Sports, Coworkers, Otaku Culture, Volleyball, Based on a Manga"
Wanmei Shijie,Foch,"Action, Adventure, Fantasy, Chinese Animation, Cultivation, Based on a Web Novel, CG Animation"
Sleepy Princess in the Demon Castle,Doga Kobo,"Comedy, Fantasy, Shounen, Demon King, Demons, Kidnapping, Magic, Royalty, Based on a Manga"
Gintama: Jump Festa 2014,Sunrise,"Comedy, Shounen, Gag, Parody, Slapstick, Based on a Manga"
Beyond the Boundary Movie: I'll Be Here - Future,Kyoto Animation,"Action, Drama, Fantasy, Amnesia, Contemporary Fantasy, Magic, Urban Fantasy, Based on a Light Novel, Violence"
Ghost in the Shell: Stand Alone Complex - The Laughing Man,Production I.G,"Sci Fi, Cyberpunk, Cyborgs, Hacking, Noir, Based on a Manga"
Nodame Cantabile: Paris,J.C.Staff,"Comedy, Josei, Romance, Adult Couples, Classical Music, Europe, France, Mature Romance, Music, noitaminA, Tsundere, Based on a Manga"
Nana,MADHOUSE,"Drama, Romance, Shoujo, Adult Couples, Coming of Age, Love Triangle, Mature Romance, Music, Pregnancy, Rock Music, Showbiz, Based on a Manga, Mature Themes,, Nudity,, Prostitution"
Girls und Panzer der Film,Actas,"Action, Military, Military School, School Club, School Life, Original Work"
Kimi ni Todoke - From Me To You 2nd Season,Production I.G,"Comedy, Drama, Romance, Shoujo, School Life, Based on a Manga"
Wan Sheng Jie 2,FENZ,"Comedy, Fantasy, Angels, Chinese Animation, Demons, Non-Human Protagonists, Short Episodes, Supernatural, Based on a 4-Koma Manga, Based on a Webtoon"
Fate/stay night: Heaven's Feel I. presage flower,ufotable,"Action, Fantasy, Romance, Magic, Proxy Battles, Superpowers, Based on an Eroge, Based on a Visual Novel, Explicit Violence"
Quanzhi Gaoshou,G.CMay Animation & Film,"Action, Drama, Chinese Animation, MMORPG, RPG, Tournaments, Based on a Web Novel"
Detective Conan Movie 23: The Fist of Blue Sapphire,V1 Studio,"Mystery, Detectives, Based on a Manga"
My Hero Academia Movie: Two Heroes,Bones,"Action, Sci Fi, Shounen, Island, Superheroes, Superpowers, Based on a Manga"
Trigun: Badlands Rumble,MADHOUSE,"Action, Desert, Guns, Overpowered Main Characters, Western, Based on a Manga, Violence"
Princess Jellyfish,Brain's Base,"Comedy, Josei, Apartment Life, Boarding House, Crossdressing, Fashion, Neighbors, noitaminA, Based on a Manga"
Hozuki's Coolheadedness 2nd Season: Part II,Studio DEEN,"Comedy, Seinen, Afterlife, Coworkers, Dark Comedy, Demons, Episodic, Gag, Hell, Japanese Mythology, Non-Human Protagonists, Parody, Satire, Slapstick, Supernatural, Based on a Manga"
Miss Kobayashi's Dragon Maid,Kyoto Animation,"Comedy, Fantasy, Seinen, Slice of Life, Animal Characteristics, Cohabitation, Contemporary Fantasy, Dragons, Maids, Monster Girls, Non-Human Protagonists, Reverse Isekai, Roommates, Urban Fantasy, Based on a Manga"
Astra Lost in Space,Lerche,"Action, Adventure, Drama, Mystery, Sci Fi, Shounen, Conspiracy, Outer Space, Survival, Based on a Manga"
Assassination Classroom 2nd Season: Kagaijugyou-hen,Lerche,"Action, Comedy, Shounen, Assassins, Non-Human Protagonists, School Life, Short Episodes, Based on a Manga"
Dou Po Cangqiong 3rd Season,Motion Magic,"Action, Fantasy, Chinese Animation, Xianxia, Based on a Web Novel, CG Animation"
Tokyo Godfathers,MADHOUSE,"Adventure, Comedy, Drama, Christmas, Poverty, Original Work, Mature Themes,, Nudity,, Suicide,, Violence"
Snow White with the Red Hair,Bones,"Drama, Fantasy, Romance, Shoujo, Adult Couples, Apprenticeship, Lifestyle Change, Mature Romance, Medical, Medieval, Royalty, Social Gap, Based on a Manga"
Black Clover,Pierrot,"Action, Adventure, Fantasy, Shounen, Childhood Promise, Guilds, Magic, Based on a Manga, Violence"
Laputa: Castle in the Sky,Studio Ghibli,"Adventure, Fantasy, Family Friendly, Original Work"
Kiki's Delivery Service,Studio Ghibli,"Fantasy, Slice of Life, Apprenticeship, Europe, Family Friendly, Lifestyle Change, Magic, Witches, Based on a Novel"
Detective Conan Movie 18: The Sniper From Another Dimension,TMS Entertainment,"Action, Mystery, Shounen, Age Transformation, Detectives, Based on a Manga"
Attack on Titan Movie 3: The Roar of Awakening,WIT Studio,"Action, Fantasy, Horror, Isolated Society, Military, Outside World, Post-apocalyptic, Recap, Based on a Manga, Cannibalism,, Explicit Violence"
Redline,MADHOUSE,"Action, Romance, Sci Fi, Sports, Aliens, Cars, Racing, Original Work, Nudity"
"Love, Chunibyo & Other Delusions! Movie: Take On Me",Kyoto Animation,"Comedy, Drama, Romance, Coming of Age, Based on a Light Novel"
One-Punch Man: Road to Hero,MADHOUSE,"Action, Comedy, Sci Fi, Seinen, Neighbors, Superpowers, Based on a Manga"
Mobile Suit Gundam: The Origin,Sunrise,"Action, Drama, Mecha, Sci Fi, Military, Outer Space, Real Robot, Original Work"
Non Non Biyori Movie: Vacation,SILVER LINK.,"Slice of Life, Countryside, Iyashikei, Based on a Manga"
Made in Abyss: Tabidachi no Yoake,Kinema Citrus,"Adventure, Drama, Fantasy, Mystery, Sci Fi, Androids, Curse, Non-Human Protagonists, Orphans, Outside World, Psychological, Recap, Robots, Based on a Manga"
Ghost in the Shell: Stand Alone Complex - Solid State Society,Production I.G,"Action, Sci Fi, Cyberpunk, Cyborgs, Hacking, Noir, Police, Based on a Manga, Explicit Violence,, Mature Themes,, Suicide"
Yowamushi Pedal: Grande Road,TMS Entertainment,"Shounen, Sports, Cycling, Racing, School Club, School Life, Tournaments, Based on a Manga"
Hozuki's Coolheadedness OVA 3,Pine Jam,"Comedy, Seinen, Afterlife, Coworkers, Dark Comedy, Demons, Episodic, Gag, Hell, Japanese Mythology, Non-Human Protagonists, Parody, Satire, Supernatural, Youkai, Based on a Manga"
Junjou Romantica OVA 2,Studio DEEN,"BL, Comedy, Drama, Romance, Shounen-ai, Age Gap, LGBT Themes, Romantic Comedy, Yaoi Hand Syndrome, Based on a Manga"
Welcome to the Ballroom,Production I.G,"Drama, Shounen, Sports, Dancing, School Life, Tournaments, Based on a Manga"
Yu Yu Hakusho,Pierrot,"Action, Shounen, Afterlife, Demons, Hand to Hand Combat, Supernatural, Tournaments, Based on a Manga, Violence"
Katanagatari,WHITE FOX,"Action, Adventure, Drama, Fantasy, Romance, Feudal Japan, Martial Arts, Monster-of-the-week, noitaminA, Overpowered Main Characters, Swordplay, Based on a Light Novel, Violence"
Full Metal Panic? Fumoffu,Kyoto Animation,"Action, Comedy, Romance, Gag, Military, School Life, Slapstick, Tsundere, Based on a Light Novel"
Log Horizon,SATELIGHT,"Adventure, Fantasy, Sci Fi, Economics, Guilds, Isekai, MMORPG, Overpowered Main Characters, Person in a Strange World, RPG, Trapped in a Video Game, Based on a Light Novel"
Major: Message,Synergy SP,"Drama, Shounen, Sports, Baseball, Based on a Manga"
Keep Your Hands Off Eizouken!,Science SARU,"Comedy, Seinen, Anime Industry, Otaku Culture, School Club, Based on a Manga"
My Teen Romantic Comedy SNAFU TOO!,feel.,"Comedy, Drama, Romance, Seinen, Coming of Age, School Club, School Life, Based on a Light Novel"
Magi: Adventure of Sinbad,Lay-duce,"Action, Adventure, Comedy, Fantasy, Shounen, Animeism, Genies, Magic, Middle Eastern, Orphans, Overpowered Main Characters, Based on a Manga, Animal Abuse,, Mature Themes"
Clannad,Kyoto Animation,"Comedy, Drama, Harem, Romance, Delinquents, Romantic Comedy, School Club, School Life, Based on a Visual Novel"
TONIKAWA: Over the Moon for You,Seven Arcs,"Comedy, Romance, Shounen, Iyashikei, Married Life, Mature Romance, Romantic Comedy, Sudden Girlfriend Appearance, Based on a Manga, Violence"
Free! Eternal Summer - Forbidden All Hard!,Animation Do,"Sports, School Club, Swimming, Based on a Light Novel"
The Last: Naruto the Movie,Pierrot,"Action, Fantasy, Romance, Shounen, Hand to Hand Combat, Martial Arts, Ninja, Based on a Manga"
One Piece 3D2Y: Overcoming Ace's Death! Luffy's Pledge to His Friends!,Toei Animation,"Action, Fantasy, Shounen, Pirates, Superpowers, Based on a Manga"
Teasing Master Takagi-san 2,Shin-Ei Animation,"Comedy, Romance, Shounen, Slice of Life, Iyashikei, School Life, Based on a Manga"
One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna,Toei Animation,"Action, Adventure, Shounen, Pirates, Recap, Based on a Manga"
Initial D Second Stage,Pastel,"Action, Drama, Seinen, Sports, Cars, Racing, Based on a Manga"
Sekai-ichi Hatsukoi: Yokozawa Takafumi no Baai,Studio DEEN,"BL, Comedy, Drama, Romance, Shounen-ai, Adult Couples, Blackmail, Childcare, Editors, LGBT Themes, Mature Romance, Salaryman, Single Parent, Tsundere, Yaoi Hand Syndrome, Based on a Manga"
Fairy Tail,A-1 Pictures,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Elemental Powers, Guilds, Magic, Based on a Manga"
Teasing Master Takagi-san 3,Shin-Ei Animation,"Comedy, Romance, Shounen, Slice of Life, Iyashikei, School Life, Based on a Manga"
Omae Umasou da na Movie,Ajia-do,"Dinosaurs, Family Friendly, Prehistoric, Based on a Novel"
Black Lagoon,MADHOUSE,"Action, Seinen, Gangs, Guns, Lifestyle Change, Mercenaries, Based on a Manga, Nudity,, Violence"
One Piece: Episode of East Blue,Toei Animation,"Adventure, Fantasy, Shounen, Pirates, Recap, Superpowers, Based on a Manga"
Baccano! Specials,Brain's Base,"Action, America, Criminals, Gangs, Mafia, Based on a Light Novel, Violence"
Durarara!!,Brain's Base,"Action, Gangs, Noir, Social Media, Supernatural, Based on a Light Novel, Mature Themes,, Suicide,, Violence"
TONIKAWA: Over the Moon for You OVA,Seven Arcs,"Comedy, Romance, Married Life, Mature Romance, Social Media, Based on a Manga"
Detective Conan Movie 8: Magician of the Silver Sky,TMS Entertainment,"Mystery, Shounen, Age Transformation, Detectives, Police, Thieves, Based on a Manga"
Kimi ni Todoke - From Me To You,Production I.G,"Comedy, Drama, Romance, Shoujo, Coming of Age, School Life, Based on a Manga"
Spice and Wolf,IMAGIN,"Adventure, Drama, Fantasy, Romance, Adult Couples, Animal Characteristics, Animal Transformation, Economics, God-Human Relationship, Gods, Interspecies Relationship, Mature Romance, Medieval, Non-Human Protagonists, Based on a Light Novel"
Nisemonogatari,SHAFT,"Action, Comedy, Drama, Ecchi, Mystery, Romance, Panty Shots, Siblings, Supernatural, Tsundere, Based on a Light Novel, Explicit Violence,, Nudity"
Attack on Titan: The Final Season PV,MAPPA,"Action, Fantasy, Horror, Shounen, Dark Fantasy, Military, Promotional, War, Based on a Manga, Violence"
High Speed! -Free! Starting Days-,Kyoto Animation,"Drama, Sports, Swimming, Based on a Light Novel"
One Piece: Episode of Sabo,Toei Animation,"Action, Adventure, Shounen, Island, Pirates, Superpowers, Based on a Manga"
Time of Eve,Studio Rikka,"Drama, Sci Fi, Androids, Cafe, Robots, Original Work"
The Case Study of Vanitas: Part II,Bones,"Adventure, Drama, Fantasy, Shounen, 19th Century, Europe, France, Steampunk, Supernatural, Vampires, Based on a Manga"
The Prince of Tennis: The National Tournament - Final,M.S.C.,"Shounen, Sports, Tennis, Based on a Manga"
Time of Eve Movie,Studio Rikka,"Drama, Sci Fi, Androids, Cafe, Robots, Original Work"
When Marnie Was There,Studio Ghibli,"Drama, Coming of Age, Based on a Novel"
Megalo Box 2: Nomad,TMS Entertainment,"Action, Drama, Sci Fi, Sports, Boxing, Drug Use,, Mature Themes,, Violence"
Baby Steps 2,Pierrot,"Shounen, Sports, Tennis, Tournaments, Based on a Manga"
Kuroko's Basketball Movie 3: Winter Cup Highlights -Crossing the Door-,Production I.G,"Shounen, Sports, Basketball, Recap, School Club, Tournaments, Based on a Manga"
Fate/stay night: Unlimited Blade Works Prologue,ufotable,"Action, Fantasy, Magic, Proxy Battles, Superpowers"
